sriw.inanto,jd guru honorer mengajar di pedesaan.. selama pandemi ga pernah dapet bantuan apapun dr pemerintah...
enggal_prayoga,belum pernah punya barang ber merk yang original 😢..@ecamaresha
shafa.irhasy,"dri awal ikoy""yan sampe sekarang belum dapet hopeless"
susan_tiiara,happy bareng2 disini nya udahan om?
suchy_1523,belum pernah menikmati masa remaja yang bebas.haha.pengin gitu nyobain liburan biar pikirn happy eh tapi syg gada uang.😂😂😂
hii_kaykids,kak.. aku jualan baju anak perempuan.. sayangnya belum ada yg kejual sm sekali dari 3 model total sekitar 100pcs.. kali aja kk @ikoy2an & bang @ariefmuhammad & ka @tiarapangestika  berminat mau beli utk di bagi2kan ke anak2 yg membutuhkan 🙏
ref_refni,"@ikoy2an .. mau nanya donk.. yg ini kapan lanjut sama kk @ecamaresha  ny..??? masih nungguin ni @ikoy2an , bg @ariefmuhammad .. 😍😍😍😍😍😍😍😍"
azzahrabustomi,pengen beli hp ram besar kak buat sekolah daring hrganya 2 jt an gpp kak
nonton_streaming_ucl,ass
teofanibagusp,"pengen jalan-jalan, pengen makan-makan, pengen apapun itu yang buat senang. hari ini ulang tahun dapat kado diputusin sama ceweku. hahaha, tapi ini post lama percuma"
said_pempek_pakam,kak belum pernah dapat hadiah dari siapa pun selama hidup kk @ecamaresha
yayangpriangga,"mimiiiiinnn owner @ikoy2an original lg ulangtaun😍 semoga semakin berkah dan semakin murah hati hidupnya bang, kayanya kado terindah nanti ada baimwati lahir kedunia @ariefmuhammad . lancar², sehat² sampai nanti persalinan @tiarapangestika dan sukses selalu panutanqu @ariefmuhammad 🙌😍"
pejuanggiveaway0104_,belum pernah dapet uang 10 juta bang hahaha
strongwerewolf,pengen nyobain croffle belum kesampean terus hahaha simple but quite fun for me it seems hwaaaa
mldccmaraa,"@ecamaresha @ikoy2an @ariefmuhammad ikoy2an bareng ka eca nya belum udahan ya kan bang?? bismillah, mau nyoba lagi.
jadi gini aku tinggal di desa di kab sragen bareng keluarga bude saya, emg dari kecil saya gak tinggal brg ortu karena mereka cerai dan sekarang ibu udah gaada sekitar 8th lalu. minggu ini aku abis nglakuin kesalahan yg fatal bgt sampe motor yang aku ambil harus ditarik dealer. aku ambil setoran motor selama 3th dgn uang 750k perbulan tapi baru jalan 12 setoran udah telat 2x yg bikin motornya harus diambil sama mereka. tapi beneran bang , bener udah nglamar sana sini hasil nihil apalagi ditambah sama keadaan yg tetep kaya gini dan rumah aku yg jauh dengan kota. apalagi dgn gaji yg umk 1.8 perbulan harus buat setoran motor dan uang bensin dan makan yaallah. sekarang tambah gaada motor tambah bingung bgt mau gimana, mau kemana jauh , disini udah gaada bus apalagi angkot bang. gaada uang sepeserpun karena emg udah 3bulan lebih nganggur. dan kalo mau merantau jugaa gimanaa gaada uang buat pegangan ato buat beli tiketnya, kalopun mau nglamar ke sragen apa solo ttp gaada motor . ditambah dimarahin org serumah karena dibilang malu2in, didiemin , emang bener sih harga diri itu ada kalo kita kerja dan menghasilkan uang, apalagi ditambah aku cuma numpang, sampe2 mereka jarang dirumah saking males nya liat aku. bang aku harus gimanaaaa:("
insan.nathiq,qodarullah baru saja kena musibah akun aplikasi belanja online ke hack orang. dan harus membayar tagihannya . 😢😢😢😢 baru belajar bisnis online dan dapat musibah spt ini.. agak trauma memulai lagi . bismillah semoga ikhtiar ikut @ikoy2an dapat membantu saya.. terimakasih bang @ariefmuhammad @ecamaresha
alvrimarpaung,"belum punya motor, ilang bang haha"
kendalis_syifa,"mungkin ini bisa di bilang telat tpi yang nama nya rezeki kita ga ada yg tau bismillah coba aja dulu, pertama saya ucapkan terimakasih kepada ikoy2an dan jga teh @ecamaresha sebagai sponsor kali ini karna sudah berbagi di masa2 sulit ini semoga rezeki nya di limpah kan aamiin, disini sebelum nya saya bukan nya belum pernah punya hp, tapi saya pernah punya hp, tapi beberapa minggu lalu hp nya di maling yaitu tanggal 26 september, dan akhirnya saya pakai hp punya kakak saya, namun mungkin karna hp nya pernah ke banting dulu waktu pemakaian kakak saya jadi hp nya ga bisa lagi hidup sampai sekarang. sedangkan masa daring saya butuh hp untuk kuliah dan juga buat vidio untuk pratikum kadang kalo buat di hp mama saya jg kadang ga cukup memori nya jadi harus hapus beberapa applikasi dulu, saya make hp nya jadi harus ganti2an sama mama saya yang padhl mama saya jg membutuhkan hp nya. sekian terimakasih banyak 🙏"
nurfikri27,"pengen tau rasanya menang gimana, dari awal ikut ikoy²an ga pernah dapet :("
galihpanjimaskandut,"bismillah, kk saya cuman mau tau rasanya mkn pitza yg selama in cmn bisa lihat d tv ,mau beli duit y sayang mendingan beli beras, trus smpai kpn sya tau rasanya mkn pitza"
alfian_jr9empat,coba aja dlu barangkali masih ad 🤭bismillah belum punya usaha sendiri buat bantu keuangan keluarga. kalau dpat mau bangun usaha voucher game tpi offline kyak jualan pulsa gitu.. .. @ecamaresha @ariefmuhammad
virronyy,"punya emas, help mau banget"
pratamasonie,"aamiin,,,mudah2n hari ini smua'y happy"
littlepandacraft,"belum pernah dapet gaji di atas 1 jt rupiah, karena gaji ketahan dan malah dapat denda 3jt"
nurulajizahna,"bismillah yaallah semoga ikoy2an kali ini rezeki.. @ecamaresha cuma pengen bisa penuhin kebutuhan dirumah kaya belanja bulanan gt ka buat mamah,sm pgn rasanya berbagi buat org2 dijalan kaya pedagang kecil gt 😌😇 yaallah bismillah. sehat selalu kalian org² bahagia @ariefmuhammad @putrasiregarr17"
ahmadkopii,"2006 ortu bikin rumah udah bikin besi buat teras . dan sampai sekarang belum terjadi karena kebutuhan ekonomi, dan tembok rumah saya retak retak semua pengen memperbaiki . genteng bocor semua  kalau dpt akan aku poto ini real bukan hoax @ecamaresha @ariefmuhammad @ikoy2an"
kalakaybodas,blm pernah k bali dan pengen nyobain rasanya punya uang 50 jt 😂
rob_21des,pingin nyoba isi bensin pertamax turbo belom pernah haha
